Sample	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Expression_Profiling_Efficiency	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-Genes_Detected	RNA-SeQCv2_mqc-generalstats-rna_seqcv2-rRNA_Rate	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
TOP_MAAC031_F_Muscle1	0.853232	26916	0.0279279	86.79	89066326.0	54.49807193282387	50.0	76.0	9.090909090909092	213191394.0
UC223-1RNA	0.879589	22481	0.0185191	90.5	31600430.0	78.14735678409345	49.0	76.0	18.181818181818183	72663200.0
UC305-1M	0.900133	21947	0.0142828	88.69	52923181.0	62.353143608636344	49.0	76.0	18.181818181818183	124220568.0
UC316-1M	0.880967	23865	0.0150374	92.34	46884104.0	60.15821522514748	48.0	76.0	18.181818181818183	104432633.0
UC368-1M	0.871107	23826	0.0196241	88.74	61459541.0	58.50702119264015	48.0	76.0	18.181818181818183	143481736.0
UC393-1M	0.893498	23725	0.01478	89.87	55076584.0	57.167308166202	49.0	76.0	18.181818181818183	127781955.0
UC84-1RNA	0.917675	19167	0.014365	90.73	24669948.0	58.80618993615855	50.0	76.0	18.181818181818183	56351806.0
UWA_FAM7_PT_D16-1243_2	0.896215	22809	0.0172218	89.73	75981057.0	69.30749827868412	51.0	101.0	9.090909090909092	186453309.0
VCGS_DLS_FAM1_1_R1	0.930681	22021	0.013574	93.86	67883243.0	54.29218960792169	48.0	101.0	9.090909090909092	152309113.0
VCGS_FAM11_32_2	0.892746	21098	0.00415537	92.16	41482712.0	40.5164522990028	49.0	101.0	0.0	96182035.0
VCGS_FAM12_36_2	0.874423	21633	0.00294825	87.81	46803015.0	42.54743570888798	50.0	101.0	0.0	118607612.0
VCGS_FAM147_459_2	0.945061	20493	0.00286381	93.1	57467235.0	39.7582829110527	50.0	101.0	0.0	130213756.0
VCGS_FAM148_462_2	0.935785	21708	0.00238754	94.49	69542498.0	41.53056586492443	49.0	101.0	0.0	153603294.0
VCGS_FAM149_465_2	0.92515	22235	0.00415376	93.41	70006644.0	44.95565723975192	49.0	101.0	0.0	159047259.0
VCGS_FAM150_468_2	0.937492	21791	0.0037264	93.89	73054675.0	45.05049074128509	50.0	101.0	0.0	163794980.0
VCGS_FAM1_1_2	0.905956	21256	0.0045389	91.91	47829945.0	45.546320963099305	49.0	101.0	0.0	111377004.0
VCGS_FAM22_69_2	0.898755	22424	0.00597508	93.13	54122622.0	49.16031480617702	49.0	101.0	0.0	123810944.0
VCGS_FAM26_81_2	0.870726	21416	0.00567755	93.13	40656927.0	40.826586479295244	48.0	101.0	0.0	92810060.0
VCGS_FAM27_84_2	0.933846	19672	0.00220908	93.33	39730841.0	32.95988720765567	49.0	101.0	0.0	89858399.0
VCGS_FAM29_90_R1	0.926168	19800	0.00208606	90.51	42194754.0	42.49839184260641	49.0	101.0	0.0	100370718.0
VCGS_FAM2_4_2	0.926435	21508	0.00322788	92.42	65806691.0	46.40525164427275	51.0	101.0	0.0	152773891.0
VCGS_FAM31_97_2	0.897091	20707	0.00171166	90.47	44110513.0	37.73874804442391	49.0	101.0	0.0	106150493.0
VCGS_FAM39_123_R1	0.927343	19026	0.00356668	90.57	34310782.0	44.025449970026806	49.0	101.0	0.0	81451680.0
VCGS_FAM3_7_2	0.924133	21937	0.00311545	92.63	72447776.0	42.714955607972705	50.0	101.0	0.0	165221732.0
VCGS_FAM41_129_2	0.890259	20879	0.00334961	90.07	36904923.0	36.97140605491479	49.0	101.0	0.0	89250896.0
VCGS_FAM42_132_2	0.927668	19855	0.00223959	92.87	40725277.0	34.1208490839696	49.0	101.0	0.0	92763737.0
VCGS_FAM49_153_R1	0.931875	19892	0.0021601	91.79	47066614.0	42.140594071754464	49.0	101.0	0.0	109136969.0
VCGS_FAM4_13_2	0.886346	21758	0.00489024	91.73	47543477.0	45.98068286644727	48.0	101.0	0.0	111301507.0
VCGS_FAM52_162_3	0.939766	20971	0.00291836	93.55	64722822.0	39.226841708260096	50.0	101.0	0.0	146283132.0
VCGS_FAM58_181_R1	0.939435	19796	0.0018736	92.11	43180988.0	43.17384424923954	49.0	101.0	0.0	99990890.0
VCGS_FAM61_190_R1	0.937946	20325	0.00251279	92.75	54254866.0	45.36368009621275	49.0	101.0	0.0	123578008.0
VCGS_FAM67_209_R1	0.937975	19994	0.0018211	92.2	45656955.0	41.48777450630929	49.0	101.0	0.0	105266207.0
VCGS_FAM73_227_2	0.927142	21959	0.00329531	93.67	66180262.0	43.17529853437332	49.0	101.0	0.0	148717875.0
VCGS_FAM84_260_R1	0.941075	19336	0.00347437	93.04	34156212.0	40.64825641262275	49.0	101.0	0.0	77596094.0
VIL_17_097	0.939915	20860	0.0242321	92.67	53437655.0	79.57725675922191	49.0	101.0	9.090909090909092	121040126.0
VIL_17_098	0.932515	21909	0.0133232	93.91	44443913.0	63.21354151771702	49.0	101.0	9.090909090909092	99105420.0
VIL_17_099	0.936972	20598	0.0258509	92.94	54697960.0	79.85609678272925	49.0	101.0	18.181818181818183	123031483.0
VIL_17_105	0.942212	20430	0.0172913	93.53	47045755.0	67.76581749883226	49.0	101.0	9.090909090909092	105095259.0
VIL_17_106	0.939305	21668	0.0157457	94.37	59108595.0	67.34885735544654	49.0	101.0	9.090909090909092	130580955.0
VIL_17_107	0.939114	21739	0.0172204	93.07	66195761.0	76.68236228312912	48.0	101.0	9.090909090909092	148530528.0
VIL_17_110	0.923143	22130	0.0238666	93.84	48664572.0	63.90659662778781	49.0	101.0	9.090909090909092	108349368.0
VIL_17_111	0.941229	19329	0.0180644	94.38	38766502.0	64.82811503287101	48.0	101.0	9.090909090909092	85928330.0
VIL_17_120	0.938351	21447	0.0167388	93.99	59154467.0	68.30241100034827	48.0	101.0	9.090909090909092	131323024.0
VIL_17_121	0.938588	21889	0.0203869	93.54	65239690.0	77.188755814064	49.0	101.0	9.090909090909092	146097571.0
VIL_17_141	0.936778	21105	0.0148441	93.79	50483130.0	57.82053970552843	49.0	101.0	9.090909090909092	112586777.0
VIL_17_150	0.934031	21789	0.0186149	93.04	75901378.0	77.1842756145153	49.0	101.0	9.090909090909092	171886359.0
VIL_17_151	0.938308	20896	0.0200181	92.93	70981367.0	79.10669747731872	49.0	101.0	9.090909090909092	160699341.0
VIL_17_152	0.93868	21723	0.017415	93.84	68959820.0	73.49055871805994	49.0	101.0	9.090909090909092	154316163.0
VIL_17_163	0.934712	18307	0.0298692	93.34	24299889.0	69.45938398174759	48.0	101.0	9.090909090909092	54526119.0
VIL_17_164	0.938732	20665	0.0190318	92.91	50694811.0	73.32983864861292	49.0	101.0	9.090909090909092	114512259.0
VIL_18_045	0.936225	22091	0.011119	92.73	61162429.0	64.29130644935144	50.0	101.0	9.090909090909092	138583578.0
VIL_18_046	0.938865	20156	0.0232182	93.03	44495727.0	68.00067003371103	49.0	101.0	9.090909090909092	100188167.0
VIL_18_061	0.93308	21609	0.0252322	91.38	75737133.0	86.69590942921594	49.0	101.0	9.090909090909092	175141848.0
VIL_18_120	0.940024	20871	0.0263025	92.67	68966433.0	80.45615454963149	49.0	101.0	9.090909090909092	156149730.0
